baseline,,bm3,,dmso_1,,dmso_2,,4-PhenylImidazole_0.1,,4-PhenylImidazole_0.2,,4-PhenylImidazole_0.3,,4-PhenylImidazole_0.4,,4-PhenylImidazole_0.5,,4-PhenylImidazole_0.6,,4-PhenylImidazole_0.7,,4-PhenylImidazole_0.8,,4-PhenylImidazole_0.9,,4-PhenylImidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-0.0008219295996,800.0281372,0.005024793092,800.0281372,0.002574676415,800.0281372,0.002903502434,800.0281372,0.002939283848,800.0281372,0.001970710931,800.0281372,0.002093517687,800.0281372,0.004830187187,800.0281372,0.01065893378,800.0281372,0.007364811376,800.0281372,0.01049042679,800.0281372,0.003848278197,800.0281372,0.02579206415,800.0281372,0.01676099189,
799.0550537,0.0005466154544,799.0550537,0.004717725795,799.0550537,0.003149235854,799.0550537,0.003301667282,799.0550537,0.007524339948,799.0550537,0.00525401812,799.0550537,0.00482576387,799.0550537,0.00973606389,799.0550537,0.007181734312,799.0550537,0.01280347724,799.0550537,0.01235064492,799.0550537,0.001418067957,799.0550537,0.02417892963,799.0550537,0.01678146794,
797.9424438,0.00092000328,797.9424438,0.001922086696,797.9424438,0.006632543635,797.9424438,0.004519621842,797.9424438,0.00480050547,797.9424438,0.003199275583,797.9424438,0.005123739596,797.9424438,0.01131347567,797.9424438,0.004835474771,797.9424438,0.01347525418,797.9424438,0.01603490859,797.9424438,0.005662999116,797.9424438,0.02389874309,797.9424438,0.0151040405,
796.9685059,0.001081048045,796.9685059,0.002356621204,796.9685059,0.002393710893,796.9685059,0.001986105461,796.9685059,0.002699764213,796.9685059,0.001414717874,796.9685059,0.004727748688,796.9685059,0.002124836203,796.9685059,-0.001777415979,796.9685059,0.0109437108,796.9685059,0.01251678541,796.9685059,0.008775421418,796.9685059,0.02317568287,796.9685059,0.01941836812,
795.9942017,0.001487181406,795.9942017,-0.002120879246,795.9942017,0.002692653332,795.9942017,-4.555691339E-5,795.9942017,0.006596641149,795.9942017,0.003010386135,795.9942017,0.005137701053,795.9942017,0.004622796085,795.9942017,0.004068939015,795.9942017,0.01364233252,795.9942017,0.01246459503,795.9942017,0.004865473136,795.9942017,0.02660246566,795.9942017,0.0151979113,
795.0194702,-0.0002877566149,795.0194702,0.0032435311,795.0194702,0.007496448699,795.0194702,0.003211949253,795.0194702,0.002766216174,795.0194702,0.004242422059,795.0194702,0.007791308686,795.0194702,0.005292928312,795.0194702,0.006238247734,795.0194702,0.01156736538,795.0194702,0.01340639591,795.0194702,-0.0007603814011,795.0194702,0.02198246308,795.0194702,0.01953952201,
794.0444336,-0.002819028217,794.0444336,0.001103599672,794.0444336,0.002537440974,794.0444336,0.003195702797,794.0444336,0.004419191275,794.0444336,0.004446886014,794.0444336,0.003992072307,794.0444336,0.005454318598,794.0444336,0.003907305188,794.0444336,0.01146042813,794.0444336,0.01535739377,794.0444336,0.005819831043,794.0444336,0.02265008166,794.0444336,0.01443790365,
793.0690308,-0.001461080392,793.0690308,0.004852201324,793.0690308,0.007805803791,793.0690308,0.001878927578,793.0690308,0.004519177135,793.0690308,0.004945401102,793.0690308,0.00471652206,793.0690308,0.001339721726,793.0690308,0.003497937927,793.0690308,0.01060715131,793.0690308,0.01229930017,793.0690308,0.009427685291,793.0690308,0.02179701068,793.0690308,0.02028440498,
791.9537354,-0.001507155015,791.9537354,0.002779762959,791.9537354,0.005339205731,791.9537354,0.004513919353,791.9537354,0.004493282642,791.9537354,0.004283202812,791.9537354,0.008776979521,791.9537354,0.003123266622,791.9537354,0.003451699391,791.9537354,0.01275951602,791.9537354,0.01535404194,791.9537354,0.004953386728,791.9537354,0.02505739965,791.9537354,0.01674659923,
790.9775391,0.001381996321,790.9775391,-0.0003745119902,790.9775391,0.001534276176,790.9775391,0.005512410775,790.9775391,0.003162507899,790.9775391,0.001930017024,790.9775391,0.002843100578,790.9775391,0.004346603062,790.9775391,0.005602893885,790.9775391,0.01527469605,790.9775391,0.01502691116,790.9775391,0.002050003503,790.9775391,0.02649286389,790.9775391,0.01311583724,
790.0009155,0.001334528555,790.0009155,0.000544490118,790.0009155,0.005349557381,790.0009155,0.005596757866,790.0009155,0.005616529379,790.0009155,0.005504440982,790.0009155,0.004442596808,790.0009155,0.004315045662,790.0009155,0.004704196937,790.0009155,0.01335420553,790.0009155,0.01370032784,790.0009155,0.009034411982,790.0009155,0.02422638796,790.0009155,0.01827115752,
789.0239258,0.002383065177,789.0239258,0.005434973631,789.0239258,0.004656835459,789.0239258,0.003204464912,789.0239258,0.004258394241,789.0239258,0.007620801684,789.0239258,0.003559866454,789.0239258,0.003003582824,789.0239258,0.002652751049,789.0239258,0.009675232694,789.0239258,0.01560772862,789.0239258,0.01113430411,789.0239258,0.02405160479,789.0239258,0.0106506031,
788.0465698,-0.002012262121,788.0465698,0.000752846594,788.0465698,0.001063531847,788.0465698,0.001499311766,788.0465698,0.001418717322,788.0465698,0.0006220968789,788.0465698,0.003074695822,788.0465698,0.001286468818,788.0465698,-0.0008531395579,788.0465698,0.008677276783,788.0465698,0.01040695328,788.0465698,0.00307180197,788.0465698,0.02057296038,788.0465698,0.01287208032,
787.0688477,0.001231535105,787.0688477,0.002165964572,787.0688477,0.005942103919,787.0688477,0.003765418893,787.0688477,0.00710739335,787.0688477,0.003438940505,787.0688477,0.003531915369,787.0688477,0.004137848504,787.0688477,0.004370213952,787.0688477,0.01109279506,787.0688477,0.01158360858,787.0688477,0.007962515578,787.0688477,0.02521670423,787.0688477,0.01865878142,
785.9509888,-0.003558062715,785.9509888,0.002444340382,785.9509888,0.003592700232,785.9509888,0.005278595258,785.9509888,0.00242270832,785.9509888,0.004160376266,785.9509888,0.007722607814,785.9509888,-0.001882328885,785.9509888,0.00389727531,785.9509888,0.01010072138,785.9509888,0.01376581285,785.9509888,0.007241716143,785.9509888,0.02148854733,785.9509888,0.01597318985,
784.9724731,0.001589611988,784.9724731,0.005362005904,784.9724731,0.004170124885,784.9724731,0.00688194856,784.9724731,0.00453204615,784.9724731,0.005385907833,784.9724731,0.005725079682,784.9724731,0.00549442647,784.9724731,0.004367337562,784.9724731,0.01358827017,784.9724731,0.01551583502,784.9724731,0.00579839712,784.9724731,0.02428285778,784.9724731,0.0174874831,
783.9935303,-0.002105062362,783.9935303,0.004699905403,783.9935303,0.005418905988,783.9935303,0.005747821182,783.9935303,0.0001334367844,783.9935303,0.00407946948,783.9935303,0.001679255278,783.9935303,0.0048076245,783.9935303,0.0002086392342,783.9935303,0.01145213563,783.9935303,0.01402728911,783.9935303,0.003457074519,783.9935303,0.01920570619,783.9935303,0.02165873721,
783.0142822,-0.00145390816,783.0142822,-0.0002138689742,783.0142822,0.001553422073,783.0142822,0.003613085719,783.0142822,0.003330986248,783.0142822,0.005084556527,783.0142822,0.004818042275,783.0142822,0.004696791526,783.0142822,0.004864661954,783.0142822,0.01012369245,783.0142822,0.01439393684,783.0142822,0.008391315117,783.0142822,0.01697717048,783.0142822,0.01693579927,
782.034668,-0.001571847242,782.034668,0.002533743856,782.034668,0.004692630842,782.034668,0.005763796158,782.034668,0.004549964797,782.034668,0.004247780889,782.034668,0.004931943491,782.034668,0.003687535645,782.034668,0.005222918466,782.034668,0.01205325965,782.034668,0.01548624504,782.034668,0.005429286044,782.034668,0.0205260627,782.034668,0.01942648925,
781.0546265,3.919312439E-5,781.0546265,0.004042209126,781.0546265,0.005079842173,781.0546265,0.002676348202,781.0546265,0.005888861138,781.0546265,0.00242853933,781.0546265,0.006453137845,781.0546265,0.0055473065,781.0546265,0.004419766832,781.0546265,0.01353341434,781.0546265,0.01604457758,781.0546265,0.00598254567,781.0546265,0.02510256879,781.0546265,0.01836838759,
779.9342041,0.001506584929,779.9342041,0.005138853565,779.9342041,0.007004494779,779.9342041,0.006299622823,779.9342041,0.004395421129,779.9342041,0.006338495295,779.9342041,0.01047820132,779.9342041,0.008361970074,779.9342041,0.003630078631,779.9342041,0.01005748287,779.9342041,0.0147488704,779.9342041,0.005587291904,779.9342041,0.02872595377,779.9342041,0.0146573456,
778.9533691,-0.0003622006916,778.9533691,-0.0004129436566,778.9533691,0.003046280472,778.9533691,0.006110640243,778.9533691,-0.0009988255333,778.9533691,0.002477011876,778.9533691,0.005352781154,778.9533691,0.00450094603,778.9533691,0.001767617534,778.9533691,0.01035106555,778.9533691,0.01516150776,778.9533691,0.005488449708,778.9533691,0.01888117753,778.9533691,0.01579004526,
777.972229,-0.003190655727,777.972229,0.001743498025,777.972229,0.009500677697,777.972229,0.002802455099,777.972229,0.00353092351,777.972229,0.005544658285,777.972229,0.006366969086,777.972229,0.004053496756,777.972229,0.01227091439,777.972229,0.02094507031,777.972229,0.01932149753,777.972229,0.005531785544,777.972229,0.0231185928,777.972229,0.01533551142,
776.9906616,-0.0001904789533,776.9906616,0.005007693544,776.9906616,0.008105067536,776.9906616,0.0009833036456,776.9906616,0.004041843582,776.9906616,0.001947152195,776.9906616,0.008793964982,776.9906616,0.004869138356,776.9906616,0.003201961517,776.9906616,0.01096768305,776.9906616,0.01720748655,776.9906616,0.007259588689,776.9906616,0.0224165339,776.9906616,0.01742445305,
776.0087891,0.001059302129,776.0087891,0.005923104938,776.0087891,0.00585110439,776.0087891,0.00892833434,776.0087891,0.00374614913,776.0087891,0.00276535633,776.0087891,0.006012387574,776.0087891,0.007600807119,776.0087891,0.003087313613,776.0087891,0.01172692981,776.0087891,0.01573987491,776.0087891,0.009303500876,776.0087891,0.02716492303,776.0087891,0.01468256768,
