baseline,,bm3,,dmso_1,,dmso_2,,4Phenylimidazole_0.1,,4Phenylimidazole_0.2,,4Phenylimidazole_0.3,,4Phenylimidazole_0.5,,4Phenylimidazole_0.6,,4Phenylimidazole_0.7,,4Phenylimidazole_0.8,,4Phenylimidazole_0.9,,4Phenylimidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,0.001390072634,800.0281372,-0.006859936286,800.0281372,-0.00579487998,800.0281372,-0.003693450242,800.0281372,-0.0002266501542,800.0281372,-0.002065285807,800.0281372,-0.001386153512,800.0281372,0.0006520908792,800.0281372,0.006538403686,800.0281372,0.004684336018,800.0281372,0.006562396418,800.0281372,0.004496630281,800.0281372,0.005011830945,
799.0550537,0.001428482356,799.0550537,-0.008096821606,799.0550537,-0.007012943737,799.0550537,-0.003421400208,799.0550537,-0.006351969671,799.0550537,0.0003852504888,799.0550537,-4.830053149E-5,799.0550537,-0.002781477757,799.0550537,0.005978005473,799.0550537,0.007144443691,799.0550537,0.009339178912,799.0550537,0.006092447788,799.0550537,0.01095034741,
797.9424438,0.003899678122,797.9424438,-0.00647679856,797.9424438,-0.005552921444,797.9424438,-0.00286552473,797.9424438,-0.001980362227,797.9424438,-0.005553739611,797.9424438,-0.003871900262,797.9424438,-0.00358399353,797.9424438,0.0002390191366,797.9424438,0.004284562077,797.9424438,0.005516185891,797.9424438,0.002412608359,797.9424438,0.01410659496,
796.9685059,0.003347420134,796.9685059,-0.00522034755,796.9685059,-0.005812453106,796.9685059,-0.006621222012,796.9685059,-0.0006687407149,796.9685059,-0.0005695835571,796.9685059,0.001470453921,796.9685059,0.0007038399926,796.9685059,0.0009627559339,796.9685059,0.006529285107,796.9685059,0.007865660824,796.9685059,0.00719689345,796.9685059,0.009827272035,
795.9942017,0.002351936419,795.9942017,-0.007306121755,795.9942017,-0.007993246429,795.9942017,-0.00414069416,795.9942017,-0.004236937501,795.9942017,2.790596955E-5,795.9942017,-0.005068395752,795.9942017,-0.0007647226448,795.9942017,-0.001769991242,795.9942017,0.007472061552,795.9942017,0.005137124564,795.9942017,0.007635028102,795.9942017,0.008116408251,
795.0194702,-0.001608213061,795.0194702,-0.01271264069,795.0194702,-0.009356339462,795.0194702,-0.006398191676,795.0194702,-0.004245294258,795.0194702,-0.003166346112,795.0194702,-0.002622546162,795.0194702,-0.002768205712,795.0194702,0.0002369471185,795.0194702,0.005602343008,795.0194702,0.002046934329,795.0194702,-0.0006404640735,795.0194702,0.008798956871,
794.0444336,0.0002887762967,794.0444336,-0.004602179863,794.0444336,-0.003278939752,794.0444336,-0.006181733217,794.0444336,-0.0006455819239,794.0444336,-0.003698378336,794.0444336,-0.002087493194,794.0444336,0.002878642408,794.0444336,0.00344637665,794.0444336,0.009558493271,794.0444336,0.005667247809,794.0444336,0.004891442135,794.0444336,0.01016752049,
793.0690308,0.001348498277,793.0690308,-0.009313826449,793.0690308,-0.004693557974,793.0690308,-0.008262601681,793.0690308,-0.007623724174,793.0690308,-0.0001622229465,793.0690308,-0.001488529728,793.0690308,-0.006465781014,793.0690308,0.004934325814,793.0690308,0.007578811143,793.0690308,0.007464687806,793.0690308,0.005752831232,793.0690308,0.006474236026,
791.9537354,-0.001014011214,791.9537354,-0.009359582327,791.9537354,-0.008956178091,791.9537354,-0.005056421272,791.9537354,-0.002371656476,791.9537354,-0.002208711579,791.9537354,-0.001752047567,791.9537354,-0.003733591177,791.9537354,0.003353054868,791.9537354,0.007727087475,791.9537354,0.004815869499,791.9537354,0.003233073046,791.9537354,0.01083496306,
790.9775391,-0.002126494888,790.9775391,-0.01041993592,790.9775391,-0.005378178321,790.9775391,-0.004768838175,790.9775391,-0.003770803101,790.9775391,-0.003913820721,790.9775391,-0.001147560659,790.9775391,-0.0008273036219,790.9775391,-0.0005911953631,790.9775391,0.00973362755,790.9775391,-0.002058123704,790.9775391,0.0007627782761,790.9775391,0.00639681099,
790.0009155,0.001875053858,790.0009155,-0.005387587007,790.0009155,-0.007196960505,790.0009155,-0.004480603151,790.0009155,-0.005000742152,790.0009155,-0.001083889627,790.0009155,0.002994355746,790.0009155,-0.00341878063,790.0009155,0.001313860412,790.0009155,0.01043691486,790.0009155,0.009045381099,790.0009155,0.006289510988,790.0009155,0.009391100146,
789.0239258,-0.003869488603,789.0239258,-0.009477522224,789.0239258,-0.01248416584,789.0239258,-0.00653728703,789.0239258,-0.006175863557,789.0239258,-0.006263083313,789.0239258,-0.004480654374,789.0239258,-0.0009370440966,789.0239258,-0.002775356174,789.0239258,0.004739315715,789.0239258,0.003826236585,789.0239258,0.002044749679,789.0239258,0.004770668224,
788.0465698,0.005302545149,788.0465698,-0.003593081841,788.0465698,-0.003835466923,788.0465698,-0.004996852484,788.0465698,0.0009094455163,788.0465698,0.001860781224,788.0465698,0.0005350559368,788.0465698,-0.002263462404,788.0465698,0.004580911249,788.0465698,0.009707977064,788.0465698,0.009886164218,788.0465698,0.002903033281,788.0465698,0.009462817572,
787.0688477,0.001652360312,787.0688477,-0.005374445114,787.0688477,-0.00611818349,787.0688477,-0.004411884118,787.0688477,-0.001166200615,787.0688477,-0.0005683426862,787.0688477,-0.001729565207,787.0688477,-8.727871318E-5,787.0688477,0.001583948149,787.0688477,0.007208420895,787.0688477,0.01024209522,787.0688477,0.004009367432,787.0688477,0.005941579118,
785.9509888,0.001006965758,785.9509888,-0.00702343788,785.9509888,-0.002958348719,785.9509888,-0.001813970855,785.9509888,-0.007929148152,785.9509888,-0.0003546999651,785.9509888,-0.0005481775734,785.9509888,-0.0007425509975,785.9509888,-1.201092346E-5,785.9509888,0.003653624328,785.9509888,0.005906678271,785.9509888,0.003487395588,785.9509888,0.006693790667,
784.9724731,0.0003121675109,784.9724731,-0.006811877713,784.9724731,-0.006301814225,784.9724731,-0.005904802587,784.9724731,-0.003410767298,784.9724731,-0.001111362828,784.9724731,-0.003112685634,784.9724731,-0.001034981105,784.9724731,0.00404443033,784.9724731,0.004726230633,784.9724731,0.007001127582,784.9724731,0.001999003813,784.9724731,0.006996155716,
783.9935303,-0.003891757689,783.9935303,-0.00702353986,783.9935303,-0.005623555742,783.9935303,-0.007200830616,783.9935303,-0.004467178136,783.9935303,-0.001867792103,783.9935303,-0.00141510414,783.9935303,-0.002090481576,783.9935303,0.005269450601,783.9935303,0.003524242667,783.9935303,0.007095894776,783.9935303,-0.002151274821,783.9935303,0.004647494759,
783.0142822,0.002803262789,783.0142822,-0.009498948231,783.0142822,-0.006440939847,783.0142822,-0.003657771973,783.0142822,-0.002627280308,783.0142822,0.0003740838729,783.0142822,-0.001294799615,783.0142822,-0.0009743929259,783.0142822,0.004679966252,783.0142822,0.00387669378,783.0142822,0.005175500643,783.0142822,0.002620613202,783.0142822,0.004807651043,
782.034668,4.755512782E-5,782.034668,-0.007545935456,782.034668,-0.006476237439,782.034668,-0.006763406098,782.034668,-0.003281509038,782.034668,-0.003294816706,782.034668,-0.003731640754,782.034668,-0.001540637342,782.034668,-0.0005527277244,782.034668,0.004452090245,782.034668,0.00403964892,782.034668,-0.001909133047,782.034668,0.003687326796,
781.0546265,-0.001015767339,781.0546265,-0.007966408506,781.0546265,-0.009372755885,781.0546265,-0.004049969371,781.0546265,-0.002015920822,781.0546265,-0.001682173344,781.0546265,-0.0004864871735,781.0546265,-0.00137087761,781.0546265,0.00138415175,781.0546265,0.003607082181,781.0546265,0.007713358849,781.0546265,-5.534067532E-5,781.0546265,0.009573736228,
779.9342041,-0.0009504755726,779.9342041,-0.009149309248,779.9342041,-0.009131110273,779.9342041,-0.008250156417,779.9342041,-0.007589893416,779.9342041,-0.005205973517,779.9342041,-0.004568215925,779.9342041,-0.006240986753,779.9342041,-0.003169635544,779.9342041,-0.0004433555878,779.9342041,0.005330295768,779.9342041,0.000645713415,779.9342041,0.004004586488,
778.9533691,0.0005819438957,778.9533691,-0.008428114466,778.9533691,-0.003623631084,778.9533691,-0.005071005318,778.9533691,-0.00384085509,778.9533691,-0.00466415938,778.9533691,-0.0006026212359,778.9533691,-0.003415955463,778.9533691,-0.0006000879221,778.9533691,0.004889217205,778.9533691,0.00630153995,778.9533691,0.004808880854,778.9533691,0.00556655135,
777.972229,0.0005163695314,777.972229,-0.005016760901,777.972229,-0.007453476079,777.972229,-0.005403182469,777.972229,-0.00319389347,777.972229,-0.001930214465,777.972229,-0.003618907649,777.972229,-0.003852247261,777.972229,-0.006810043007,777.972229,-0.003078296082,777.972229,0.008386142552,777.972229,0.007365759462,777.972229,0.0009484613547,
776.9906616,0.001311757253,776.9906616,-0.01204100531,776.9906616,-0.001071340288,776.9906616,-0.003290295135,776.9906616,-0.007027309388,776.9906616,-0.0003751327167,776.9906616,0.0005366110126,776.9906616,-0.003588409163,776.9906616,0.0001449856209,776.9906616,0.0006354734069,776.9906616,0.005901456345,776.9906616,0.004592526704,776.9906616,0.008245054632,
776.0087891,0.002243159106,776.0087891,-0.007747017778,776.0087891,-0.00569939008,776.0087891,-0.00406612549,776.0087891,-0.003244923195,776.0087891,-0.003509432077,776.0087891,-0.0005014322232,776.0087891,0.003350002691,776.0087891,0.009214041755,776.0087891,0.001334580476,776.0087891,0.006521033589,776.0087891,0.004273660947,776.0087891,0.004751406144,
775.0264893,-0.002447031206,775.0264893,-0.008081627078,775.0264893,-0.005773576442,775.0264893,-0.01030523516,775.0264893,-0.005659839604,775.0264893,-0.004011550453,775.0264893,-0.004640239291,775.0264893,-0.009245159104,775.0264893,0.003134738887,775.0264893,-0.001531093265,775.0264893,0.004379208665,775.0264893,-0.003699250985,775.0264893,0.002831062768,
774.0438843,-0.002332470613,774.0438843,-0.007305307314,774.0438843,-0.00625599036,774.0438843,-0.006352939177,774.0438843,-0.001547137392,774.0438843,-0.002752052154,774.0438843,-0.002920038765,774.0438843,-0.003915924113,774.0438843,0.0008679431048,774.0438843,0.001167523675,774.0438843,0.001287039951,774.0438843,0.002227026969,774.0438843,0.01072725095,
773.0608521,0.00152713235,773.0608521,-0.001172499848,773.0608521,-0.006656402722,773.0608521,-0.004802223761,773.0608521,-0.001523354789,773.0608521,-0.0004781094322,773.0608521,0.001318975352,773.0608521,-3.354691944E-5,773.0608521,0.006401066668,773.0608521,0.00419087708,773.0608521,0.008075213991,773.0608521,0.008439640515,773.0608521,0.02037033997,
771.9370117,-0.0005328721018,771.9370117,-0.007505381946,771.9370117,-0.006705141161,771.9370117,-0.004983955063,771.9370117,-0.002487905091,771.9370117,-0.002797732828,771.9370117,-0.00352745736,771.9370117,-0.003034958383,771.9370117,0.00499130087,771.9370117,0.006360770203,771.9370117,0.008277479559,771.9370117,0.005071199499,771.9370117,0.008955208585,
770.9532471,-0.003190861316,770.9532471,-0.003690113546,770.9532471,-0.004605561029,770.9532471,-0.003571105422,770.9532471,-0.00284500327,770.9532471,-0.006496588234,770.9532471,0.0009258919163,770.9532471,-0.003632615786,770.9532471,0.006279478315,770.9532471,0.005294893403,770.9532471,0.006436375435,770.9532471,0.002721748548,770.9532471,0.004952548537,
