baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_4.5,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-0.0011736874,800.0281372,0.004030608572,800.0281372,0.008831423707,800.0281372,0.007053112611,800.0281372,0.01061017532,800.0281372,0.006485980935,800.0281372,0.008664918132,800.0281372,0.007005389314,800.0281372,0.01281587407,800.0281372,0.01353290677,800.0281372,0.01261286996,800.0281372,0.01179246325,800.0281372,0.01225320715,800.0281372,0.008319511078,800.0281372,0.01727821678,800.0281372,0.02329324558,800.0281372,0.01436490566,800.0281372,0.01514357515,800.0281372,0.02037685178,
799.0550537,-0.001497765072,799.0550537,-0.001620179624,799.0550537,0.00470665656,799.0550537,0.008085762151,799.0550537,0.01180121396,799.0550537,0.007003021892,799.0550537,0.01015917305,799.0550537,0.01196999103,799.0550537,0.01440769155,799.0550537,0.01675625704,799.0550537,0.0175617896,799.0550537,0.0117688179,799.0550537,0.009903086349,799.0550537,0.006094469223,799.0550537,0.01784328371,799.0550537,0.02186906524,799.0550537,0.01349939313,799.0550537,0.02210245468,799.0550537,0.01814198866,
797.9424438,-0.0003967541561,797.9424438,0.006097461563,797.9424438,0.005836805329,797.9424438,0.009304532781,797.9424438,0.009330874309,797.9424438,0.008334103972,797.9424438,0.01161684282,797.9424438,0.0107107209,797.9424438,0.01126634516,797.9424438,0.01508439519,797.9424438,0.0132526448,797.9424438,0.01196717098,797.9424438,0.02140788175,797.9424438,0.01173251402,797.9424438,0.02014354616,797.9424438,0.0249022115,797.9424438,0.0145706581,797.9424438,0.02447737008,797.9424438,0.02553883754,
796.9685059,0.0008994067321,796.9685059,0.004539579619,796.9685059,0.008844553493,796.9685059,0.009598055854,796.9685059,0.01237882394,796.9685059,0.01516322326,796.9685059,0.01131831203,796.9685059,0.01182597876,796.9685059,0.01754869148,796.9685059,0.01682411507,796.9685059,0.01796097681,796.9685059,0.01226090267,796.9685059,0.01592181809,796.9685059,0.01216633245,796.9685059,0.0237238463,796.9685059,0.02120030671,796.9685059,0.01822167076,796.9685059,0.01573968679,796.9685059,0.028930353,
795.9942017,-0.003192916978,795.9942017,0.002230643528,795.9942017,0.004110121168,795.9942017,0.009419404902,795.9942017,0.007388376165,795.9942017,0.008744888008,795.9942017,0.007870722562,795.9942017,0.01006882172,795.9942017,0.01593062468,795.9942017,0.01510862354,795.9942017,0.01062582619,795.9942017,0.01151406672,795.9942017,0.01415427588,795.9942017,0.007829972543,795.9942017,0.01637113281,795.9942017,0.01929843985,795.9942017,0.01367275789,795.9942017,0.01877204701,795.9942017,0.02033358254,
795.0194702,0.001204823609,795.0194702,0.006523293443,795.0194702,0.005049514584,795.0194702,0.00770508498,795.0194702,0.009178427048,795.0194702,0.007613135502,795.0194702,0.008961444721,795.0194702,0.01045266539,795.0194702,0.01424976066,795.0194702,0.01440156344,795.0194702,0.01645745337,795.0194702,0.01052116323,795.0194702,0.01411028486,795.0194702,0.01232835464,795.0194702,0.01899233833,795.0194702,0.01940125972,795.0194702,0.01706118882,795.0194702,0.01669728756,795.0194702,0.02271812968,
794.0444336,0.00253452477,794.0444336,0.007036906201,794.0444336,0.008227273822,794.0444336,0.009320744313,794.0444336,0.01038232259,794.0444336,0.008163304068,794.0444336,0.01178818103,794.0444336,0.01115717087,794.0444336,0.01634282805,794.0444336,0.0173369702,794.0444336,0.01651553065,794.0444336,0.01295386814,794.0444336,0.01361810509,794.0444336,0.02258528955,794.0444336,0.0194137115,794.0444336,0.01981912926,794.0444336,0.0214448683,794.0444336,0.01940147765,794.0444336,0.02942009456,
793.0690308,-0.0007476676255,793.0690308,0.003966758028,793.0690308,0.005028904881,793.0690308,0.008733714931,793.0690308,0.01105718594,793.0690308,0.01004058123,793.0690308,0.01115170028,793.0690308,0.009751523845,793.0690308,0.01429288276,793.0690308,0.01527549978,793.0690308,0.01539180242,793.0690308,0.01088703796,793.0690308,0.01345728431,793.0690308,0.0141896056,793.0690308,0.0194291696,793.0690308,0.02224389464,793.0690308,0.01570111886,793.0690308,0.01726264879,793.0690308,0.02256911993,
791.9537354,0.0002711883863,791.9537354,0.004655710422,791.9537354,0.007686404046,791.9537354,0.009559207596,791.9537354,0.009811464697,791.9537354,0.009602661245,791.9537354,0.01130858716,791.9537354,0.0102755446,791.9537354,0.01622065529,791.9537354,0.01777507737,791.9537354,0.01325379312,791.9537354,0.0135182729,791.9537354,0.01253167912,791.9537354,0.01547302026,791.9537354,0.02195776626,791.9537354,0.01570511796,791.9537354,0.01745237038,791.9537354,0.02017435059,791.9537354,0.02323051356,
