kpi+DMSO,,kpi+DMSO+Triton,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
999.9780273,0.2234431654,999.9780273,0.2294106334,
998.9706421,0.2245519012,998.9706421,0.2318898141,
997.9626465,0.2291446775,997.9626465,0.233522132,
996.9539795,0.2300007939,996.9539795,0.2323329747,
995.9447632,0.2287321836,995.9447632,0.2365324348,
995.0611572,0.2346330732,995.0611572,0.2375615835,
994.0507202,0.2345694155,994.0507202,0.2408948243,
993.0397339,0.2365255207,993.0397339,0.2410892844,
992.0280762,0.2385315448,992.0280762,0.2422714084,
991.0158691,0.2389817089,991.0158691,0.2428370714,
990.0029907,0.2431033105,990.0029907,0.2456723899,
988.989563,0.2406419665,988.989563,0.2460435331,
987.9754639,0.2454532683,987.9754639,0.2490048558,
986.9607544,0.244196862,986.9607544,0.2482841164,
985.9454956,0.246933341,985.9454956,0.2525447905,
985.0565796,0.2472723126,985.0565796,0.2518906593,
984.0401611,0.2483065873,984.0401611,0.2521012127,
983.0231323,0.2486355752,983.0231323,0.2554686964,
982.0054932,0.2523345351,982.0054932,0.2553655803,
980.9872437,0.252754271,980.9872437,0.2547309697,
979.9683838,0.2503485978,979.9683838,0.2557950914,
978.9489136,0.2515796721,978.9489136,0.25690642,
978.0563965,0.2521281838,978.0563965,0.2567149401,
977.0357666,0.2534530163,977.0357666,0.2570488155,
976.0145874,0.2510769367,976.0145874,0.2565783858,
974.9927979,0.2520710826,974.9927979,0.2579326034,
973.9703979,0.2522833645,973.9703979,0.2553848028,
972.9473877,0.2493439317,972.9473877,0.2547602952,
972.0517578,0.2505690157,972.0517578,0.2558858097,
971.0276489,0.2518328726,971.0276489,0.2575216591,
970.0029297,0.2511476278,970.0029297,0.2543604076,
968.9776001,0.2510382533,968.9776001,0.2545776963,
967.9516602,0.2503072321,967.9516602,0.2540101111,
967.0534668,0.2470677495,967.0534668,0.2544164062,
966.0264282,0.2478893846,966.0264282,0.25042817,
964.9987793,0.246608302,964.9987793,0.2512065172,
963.9705811,0.2446207553,963.9705811,0.2479806542,
962.9417114,0.238555342,962.9417114,0.2470757961,
962.0410156,0.2425336242,962.0410156,0.2463469356,
