BLANK,,BM3,,dmso_1,,dmso_2,,4PhenylImidazole_0.1,,4PhenylImidazole_0.2,,4PhenylImidazole_0.3,,4PhenylImidazole_0.4,,4PhenylImidazole_0.5,,4PhenylImidazole_0.6,,4PhenylImidazole_0.7,,4PhenylImidazole_0.8,,4PhenylImidazole_0.9,,4PhenylImidazole_1.0,,4PhenylImidazole_2.0,,4PhenylImidazole_3.0,,4PhenylImidazole_4.0,,4PhenylImidazole_5.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-0.0003594590817,800.0281372,-0.002866913565,800.0281372,0.001007770072,800.0281372,0.0001724347821,800.0281372,0.001837514341,800.0281372,0.003229395952,800.0281372,0.006790515035,800.0281372,0.00362464902,800.0281372,0.007134259678,800.0281372,0.008212764747,800.0281372,0.00416228408,800.0281372,0.004853327293,800.0281372,0.003593744244,800.0281372,0.006767245475,800.0281372,0.004522132687,800.0281372,0.01115762256,800.0281372,0.008967364207,800.0281372,0.01196461637,
799.0550537,0.002589649754,799.0550537,-0.001481151558,799.0550537,0.002899697749,799.0550537,0.0002465561556,799.0550537,0.002733601024,799.0550537,0.002529577818,799.0550537,0.005958742462,799.0550537,0.004291307181,799.0550537,0.009447763674,799.0550537,0.01168717258,799.0550537,0.01317725796,799.0550537,0.006386539433,799.0550537,0.003631905653,799.0550537,0.007328215986,799.0550537,0.00958191324,799.0550537,0.008520676754,799.0550537,0.009086905047,799.0550537,0.008165757172,
797.9424438,0.001055461704,797.9424438,-0.0006673450116,797.9424438,0.00333534251,797.9424438,0.001186887035,797.9424438,-0.0009908708744,797.9424438,0.00118322717,797.9424438,0.007356070448,797.9424438,0.002588972682,797.9424438,0.01295517478,797.9424438,0.01123890281,797.9424438,0.009200583212,797.9424438,0.007418657187,797.9424438,0.005259153433,797.9424438,0.005972992629,797.9424438,0.006108697969,797.9424438,0.009585062042,797.9424438,0.009376551956,797.9424438,0.01289194543,
796.9685059,0.003500625724,796.9685059,0.002730917884,796.9685059,0.005038960837,796.9685059,0.005668768659,796.9685059,0.002045399975,796.9685059,0.007532346994,796.9685059,0.005955724046,796.9685059,0.00685959449,796.9685059,0.01217405312,796.9685059,0.008682241663,796.9685059,0.008937504143,796.9685059,0.007178286556,796.9685059,0.002426378662,796.9685059,0.007077371236,796.9685059,0.007462133188,796.9685059,0.005793255288,796.9685059,0.01373866666,796.9685059,0.009380070493,
795.9942017,-0.001254226081,795.9942017,-0.000411805755,795.9942017,0.0008044780698,795.9942017,-0.0004709727073,795.9942017,-8.39659624E-5,795.9942017,0.002076116623,795.9942017,0.00221245666,795.9942017,0.002131885616,795.9942017,0.006122795865,795.9942017,0.01018169709,795.9942017,0.005429993384,795.9942017,0.003253754461,795.9942017,0.001251524314,795.9942017,0.004341321532,795.9942017,0.005209871568,795.9942017,0.002694710856,795.9942017,0.005680675618,795.9942017,0.009211318567,
795.0194702,0.003038564464,795.0194702,0.004693991505,795.0194702,0.004904610571,795.0194702,0.002227287274,795.0194702,0.005717945285,795.0194702,0.007156101521,795.0194702,0.009754779749,795.0194702,0.009272057563,795.0194702,0.0140627427,795.0194702,0.01192411873,795.0194702,0.007317554206,795.0194702,0.008939644322,795.0194702,0.009336719289,795.0194702,0.01079138741,795.0194702,0.01054850686,795.0194702,0.01308400929,795.0194702,0.01554953121,795.0194702,0.0101695871,
794.0444336,0.00242086011,794.0444336,5.270702968E-5,794.0444336,0.005624291487,794.0444336,0.00359925162,794.0444336,0.003298693802,794.0444336,0.002152879024,794.0444336,0.007772861049,794.0444336,0.009134328924,794.0444336,0.01089449693,794.0444336,0.008179711178,794.0444336,0.01048074663,794.0444336,0.007225213107,794.0444336,0.006690872833,794.0444336,0.005147471558,794.0444336,0.005866584368,794.0444336,0.008993499912,794.0444336,0.009960822761,794.0444336,0.01303271111,
793.0690308,0.002806806006,793.0690308,0.005279014353,793.0690308,0.006650706753,793.0690308,0.008666423149,793.0690308,0.00854670722,793.0690308,0.003711841535,793.0690308,0.01501908619,793.0690308,0.005320914555,793.0690308,0.01249387302,793.0690308,0.01051588543,793.0690308,0.01135601569,793.0690308,0.009522321634,793.0690308,0.005618155468,793.0690308,0.007983159274,793.0690308,0.008806062862,793.0690308,0.01024758164,793.0690308,0.01149580535,793.0690308,0.01433964819,
791.9537354,0.008839454502,791.9537354,0.006008397788,791.9537354,0.01321157441,791.9537354,0.003554281313,791.9537354,0.008424093947,791.9537354,0.008260752074,791.9537354,0.02086312138,791.9537354,0.009558625519,791.9537354,0.01647229493,791.9537354,0.01697218977,791.9537354,0.01488005929,791.9537354,0.01320058014,791.9537354,0.0125662107,791.9537354,0.01357521024,791.9537354,0.01409207471,791.9537354,0.01179717109,791.9537354,0.01775574125,791.9537354,0.01639798656,
