baseline,,bm3,,dmso_1.0.,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-0.0006880214787,800.0281372,0.002992426977,800.0281372,0.001366597251,800.0281372,0.002022643341,800.0281372,0.001920188661,800.0281372,0.00241510733,800.0281372,0.003226266475,800.0281372,0.00445930846,800.0281372,0.00360590755,800.0281372,0.005825655069,800.0281372,0.03413232043,800.0281372,0.01154588535,800.0281372,0.008396752179,800.0281372,0.01001644786,800.0281372,0.01342484355,800.0281372,0.009535101242,800.0281372,0.02366498858,800.0281372,0.03945818171,
799.0550537,0.001099551213,799.0550537,-0.0003153836296,799.0550537,0.00113245903,799.0550537,0.00347215659,799.0550537,0.001514559612,799.0550537,0.002926748246,799.0550537,0.00398844108,799.0550537,0.003676309949,799.0550537,0.0018114415,799.0550537,0.007915641181,799.0550537,0.03478103504,799.0550537,0.01439878065,799.0550537,0.01025126595,799.0550537,0.00681786146,799.0550537,0.0182883013,799.0550537,0.01326302718,799.0550537,0.0230941847,799.0550537,0.03587091342,
797.9424438,0.0008626258932,797.9424438,0.0003714671475,797.9424438,0.002422213787,797.9424438,0.0007470122073,797.9424438,0.003795682918,797.9424438,0.003353967797,797.9424438,0.005229651928,797.9424438,0.003680408467,797.9424438,0.004813461564,797.9424438,0.009086482227,797.9424438,0.03584400937,797.9424438,0.01456648204,797.9424438,0.009024659172,797.9424438,0.008613980375,797.9424438,0.01134849526,797.9424438,0.01326903235,797.9424438,0.02720309049,797.9424438,0.04267400876,
796.9685059,0.0001241927384,796.9685059,0.002891384996,796.9685059,0.001371401246,796.9685059,0.003213279182,796.9685059,0.0003469587537,796.9685059,0.0005480150576,796.9685059,0.005246550776,796.9685059,0.006467456929,796.9685059,0.006368282717,796.9685059,0.007150391117,796.9685059,0.04023257643,796.9685059,0.01358741615,796.9685059,0.005215346813,796.9685059,0.01062646322,796.9685059,0.01437951438,796.9685059,0.01469908934,796.9685059,0.02849663422,796.9685059,0.03647096083,
795.9942017,-0.0003443539026,795.9942017,0.001056032605,795.9942017,0.0007425521617,795.9942017,0.001600575983,795.9942017,0.002323203953,795.9942017,0.004221484531,795.9942017,0.003063016571,795.9942017,0.003122823313,795.9942017,0.0005483260611,795.9942017,0.004215734079,795.9942017,0.03698098287,795.9942017,0.01018564589,795.9942017,0.002862903522,795.9942017,0.01136361528,795.9942017,0.01461038552,795.9942017,0.016321918,795.9942017,0.02317311615,795.9942017,0.03932533413,
795.0194702,0.0013184821,795.0194702,0.0007876213058,795.0194702,0.004566183314,795.0194702,0.003122719005,795.0194702,-0.0008413069299,795.0194702,0.00644932827,795.0194702,0.003742154222,795.0194702,0.005912424996,795.0194702,0.004413960967,795.0194702,0.007231792901,795.0194702,0.04294005781,795.0194702,0.01444360334,795.0194702,0.005523317028,795.0194702,0.01017297897,795.0194702,0.01204665937,795.0194702,0.01756340824,795.0194702,0.02084810287,795.0194702,0.03689854592,
794.0444336,-0.001981186913,794.0444336,-3.820600978E-5,794.0444336,0.003525730222,794.0444336,0.001749059884,794.0444336,0.001520871883,794.0444336,0.001856751624,794.0444336,0.004871782381,794.0444336,0.003659158479,794.0444336,0.003007883672,794.0444336,0.003306492697,794.0444336,0.03353054449,794.0444336,0.01212869212,794.0444336,0.007274276577,794.0444336,0.008309986442,794.0444336,0.01525128912,794.0444336,0.01799464785,794.0444336,0.02383950725,794.0444336,0.04254745319,
793.0690308,-0.004061868414,793.0690308,-0.002234053332,793.0690308,0.0008382194792,793.0690308,-0.002736772876,793.0690308,0.001672472921,793.0690308,0.001144242124,793.0690308,-0.001485640416,793.0690308,0.001051465515,793.0690308,-0.0001707620395,793.0690308,0.005527013913,793.0690308,0.03488220274,793.0690308,0.01182446256,793.0690308,0.004953648429,793.0690308,0.005266175605,793.0690308,0.01061985735,793.0690308,0.01426353678,793.0690308,0.0259899199,793.0690308,0.04036283121,
791.9537354,0.005032230634,791.9537354,0.003274828196,791.9537354,0.007197787985,791.9537354,0.003435235471,791.9537354,0.01066617575,791.9537354,0.00886650756,791.9537354,0.008398440666,791.9537354,0.01131262537,791.9537354,0.01235722378,791.9537354,0.01513435412,791.9537354,0.04147269204,791.9537354,0.01848906092,791.9537354,0.01577938721,791.9537354,0.01603090577,791.9537354,0.01851469465,791.9537354,0.0201059673,791.9537354,0.02894595824,791.9537354,0.04336176068,
