baseline,,bm3,,dmso_1.0,,dmso_2.0,,Palmitic_acid_0.1,,Palmitic_acid_0.2,,Palmitic_acid_0.3,,Palmitic_acid_0.4,,Palmitic_acid_0.5,,Palmitic_acid_0.6,,Palmitic_acid_0.7,,Palmitic_acid_0.8,,Palmitic_acid_0.9,,Palmitic_acid_1.0,,Palmitic_acid_2.0,,Palmitic_acid_3.0,,Palmitic_acid_4.0,,Palmitic_acid_5.0,,Palmitic_acid_6.0,,Palmitic_acid_7.0,,Palmitic_acid_8.0,,Palmitic_acid_9.0,,Palmitic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,0.002199942013,800.0281372,0.002755404916,800.0281372,0.006171735004,800.0281372,0.006022256333,800.0281372,0.008447056636,800.0281372,0.004247859586,800.0281372,0.004668452777,800.0281372,0.007646119222,800.0281372,0.009009648114,800.0281372,0.009922524914,800.0281372,0.0313295126,800.0281372,0.01573780924,800.0281372,0.01252198033,800.0281372,0.01459630392,800.0281372,0.02423613146,800.0281372,0.02244749852,800.0281372,0.02713808417,800.0281372,0.06601628661,800.0281372,0.04149923846,800.0281372,0.04803770408,800.0281372,0.04835034162,800.0281372,0.05899108201,800.0281372,0.06472364068,
799.0550537,-0.004362785257,799.0550537,0.0002208893566,799.0550537,0.002192631131,799.0550537,0.006144901738,799.0550537,0.006654334255,799.0550537,0.00464362232,799.0550537,0.004641973879,799.0550537,0.006349054631,799.0550537,0.00459807273,799.0550537,0.008366508409,799.0550537,0.02843900584,799.0550537,0.01311106142,799.0550537,0.01566625573,799.0550537,0.01106674504,799.0550537,0.01718473062,799.0550537,0.02088107355,799.0550537,0.02550202422,799.0550537,0.06884248555,799.0550537,0.04147736356,799.0550537,0.04455010593,799.0550537,0.04618373513,799.0550537,0.05915823206,799.0550537,0.06820829958,
797.9424438,-0.003129853634,797.9424438,0.002433068585,797.9424438,0.005014737602,797.9424438,0.005405617412,797.9424438,0.007321687415,797.9424438,0.00422775792,797.9424438,0.00339487358,797.9424438,0.008020997047,797.9424438,0.006422372535,797.9424438,0.01162758376,797.9424438,0.02864053287,797.9424438,0.01267659198,797.9424438,0.01065800525,797.9424438,0.01523919776,797.9424438,0.01926436834,797.9424438,0.02075063996,797.9424438,0.0296896752,797.9424438,0.0707661435,797.9424438,0.04131645337,797.9424438,0.04841420799,797.9424438,0.04972562939,797.9424438,0.05671960115,797.9424438,0.06451334059,
796.9685059,0.003628904,796.9685059,0.004640927538,796.9685059,0.003979193047,796.9685059,0.01259887964,796.9685059,0.007920491509,796.9685059,0.008676405065,796.9685059,0.008533718064,796.9685059,0.01039573736,796.9685059,0.01193571929,796.9685059,0.01566370577,796.9685059,0.03154340759,796.9685059,0.01670756377,796.9685059,0.01382844802,796.9685059,0.01950475574,796.9685059,0.02192030102,796.9685059,0.0292728655,796.9685059,0.03288955614,796.9685059,0.07525841892,796.9685059,0.04538530484,796.9685059,0.04853976145,796.9685059,0.05121530965,796.9685059,0.06359939277,796.9685059,0.07298394293,
795.9942017,-0.001430584816,795.9942017,0.002760927659,795.9942017,0.004788204096,795.9942017,0.009610733017,795.9942017,0.009964637458,795.9942017,0.004606993869,795.9942017,0.007145364769,795.9942017,0.006860120688,795.9942017,0.001889976906,795.9942017,0.006761750672,795.9942017,0.02750971355,795.9942017,0.0129392799,795.9942017,0.01643320359,795.9942017,0.01564341784,795.9942017,0.02013834007,795.9942017,0.02389617264,795.9942017,0.02633078024,795.9942017,0.06586623192,795.9942017,0.04206456617,795.9942017,0.04589587077,795.9942017,0.04843807966,795.9942017,0.05651172251,795.9942017,0.06335572898,
795.0194702,0.001243346836,795.0194702,0.0006492651301,795.0194702,0.004554647021,795.0194702,0.0093314033,795.0194702,0.008392028511,795.0194702,0.004372357856,795.0194702,0.002335097641,795.0194702,0.01012779959,795.0194702,0.008528121747,795.0194702,0.008425440639,795.0194702,0.02784608305,795.0194702,0.01345837861,795.0194702,0.01244655997,795.0194702,0.01312119979,795.0194702,0.01838715747,795.0194702,0.0274577029,795.0194702,0.02440896444,795.0194702,0.07034142315,795.0194702,0.04224686697,795.0194702,0.04488544539,795.0194702,0.04931617528,795.0194702,0.06262208521,795.0194702,0.06323171407,
794.0444336,-0.002388699213,794.0444336,0.003490840085,794.0444336,0.006575326435,794.0444336,0.01014878601,794.0444336,0.007968104444,794.0444336,0.005875059403,794.0444336,0.00700746756,794.0444336,0.009105329402,794.0444336,0.008277110755,794.0444336,0.01103291661,794.0444336,0.03067342937,794.0444336,0.01190323383,794.0444336,0.01710531861,794.0444336,0.01460934151,794.0444336,0.01742655598,794.0444336,0.02516782098,794.0444336,0.03064489923,794.0444336,0.06599901617,794.0444336,0.0461750403,794.0444336,0.05208188295,794.0444336,0.05009720847,794.0444336,0.05809011683,794.0444336,0.06583818793,
793.0690308,-0.000937457371,793.0690308,0.003478262573,793.0690308,0.005707532633,793.0690308,0.009871546179,793.0690308,0.004469822161,793.0690308,0.004613953177,793.0690308,0.004480414558,793.0690308,0.009598955512,793.0690308,0.003961794544,793.0690308,0.01362726651,793.0690308,0.02885305136,793.0690308,0.009948427789,793.0690308,0.01609260589,793.0690308,0.00862617977,793.0690308,0.01885841414,793.0690308,0.02658936568,793.0690308,0.02907436714,793.0690308,0.07122576237,793.0690308,0.04395847768,793.0690308,0.04994434118,793.0690308,0.04883126915,793.0690308,0.06209709868,793.0690308,0.06490155309,
791.9537354,0.0007642044802,791.9537354,0.002513461048,791.9537354,0.003354541725,791.9537354,0.008097340353,791.9537354,0.006990947295,791.9537354,0.005124446936,791.9537354,0.004981481936,791.9537354,0.005325814709,791.9537354,0.008356269449,791.9537354,0.008138563484,791.9537354,0.02987101302,791.9537354,0.0109437909,791.9537354,0.01465225872,791.9537354,0.007669014391,791.9537354,0.02489582449,791.9537354,0.02004277147,791.9537354,0.02958341874,791.9537354,0.07376004755,791.9537354,0.04127713665,791.9537354,0.04656771198,791.9537354,0.04898930714,791.9537354,0.05966182426,791.9537354,0.06601471454,
790.9775391,0.001892030821,790.9775391,0.006635566708,790.9775391,0.00591061404,790.9775391,0.01074152626,790.9775391,0.01020305697,790.9775391,0.007679553237,790.9775391,0.007149680518,790.9775391,0.01062022895,790.9775391,0.01277911011,790.9775391,0.01264546253,790.9775391,0.03033261374,790.9775391,0.01166539453,790.9775391,0.0182906501,790.9775391,0.01820328832,790.9775391,0.02107178606,790.9775391,0.02664625458,790.9775391,0.03638031706,790.9775391,0.07244558632,790.9775391,0.04587820545,790.9775391,0.05374947935,790.9775391,0.0497107394,790.9775391,0.06347168237,790.9775391,0.06677105278,
790.0009155,-0.0003665458935,790.0009155,0.002915151184,790.0009155,0.004772526678,790.0009155,0.01289031934,790.0009155,0.006945624016,790.0009155,0.00389502896,790.0009155,0.005873695016,790.0009155,0.007695942186,790.0009155,0.00612636609,790.0009155,0.0114951944,790.0009155,0.02865446918,790.0009155,0.01170839369,790.0009155,0.01582910493,790.0009155,0.01183752343,790.0009155,0.02001655847,790.0009155,0.02117141336,790.0009155,0.03044546768,790.0009155,0.06955548376,790.0009155,0.04320918396,790.0009155,0.05204391852,790.0009155,0.0497572124,790.0009155,0.06167647615,790.0009155,0.06673295796,
789.0239258,-0.001705483184,789.0239258,0.001181228552,789.0239258,0.001432429999,789.0239258,0.009555715136,789.0239258,0.003482750617,789.0239258,0.003924570978,789.0239258,0.006094652694,789.0239258,0.005972153042,789.0239258,0.007663428783,789.0239258,0.008307136595,789.0239258,0.02763295174,789.0239258,0.01419177186,789.0239258,0.01366461068,789.0239258,0.01805894822,789.0239258,0.01985703595,789.0239258,0.02601811662,789.0239258,0.02573386021,789.0239258,0.0717215687,789.0239258,0.04530841112,789.0239258,0.05010301992,789.0239258,0.04801755026,789.0239258,0.05176056921,789.0239258,0.06328235567,
788.0465698,-0.0008954555378,788.0465698,0.00405088393,788.0465698,0.003887114814,788.0465698,0.009349361993,788.0465698,0.006964168511,788.0465698,0.005182783119,788.0465698,0.008919323795,788.0465698,0.004808959551,788.0465698,0.009427235462,788.0465698,0.01148958597,788.0465698,0.02796279266,788.0465698,0.01127952151,788.0465698,0.01579321176,788.0465698,0.01630904339,788.0465698,0.01731929742,788.0465698,0.02806978486,788.0465698,0.02858459949,788.0465698,0.0757804513,788.0465698,0.04376646504,788.0465698,0.04840471596,788.0465698,0.05642743781,788.0465698,0.05919139832,788.0465698,0.06558296829,
787.0688477,0.002679499798,787.0688477,0.004615209065,787.0688477,0.005602631718,787.0688477,0.01074940711,787.0688477,0.007154338527,787.0688477,0.008071336895,787.0688477,0.01047602668,787.0688477,0.009022914805,787.0688477,0.01131642517,787.0688477,0.01467105467,787.0688477,0.0289548412,787.0688477,0.01276844647,787.0688477,0.0189313069,787.0688477,0.01592385769,787.0688477,0.02074238472,787.0688477,0.02800928615,787.0688477,0.03342826292,787.0688477,0.07367347926,787.0688477,0.0454402864,787.0688477,0.04973088577,787.0688477,0.05214702711,787.0688477,0.06188296154,787.0688477,0.06776192784,
785.9509888,0.001313159359,785.9509888,0.003766541602,785.9509888,0.005512804259,785.9509888,0.01219753455,785.9509888,0.008802602999,785.9509888,0.006745107938,785.9509888,0.008113348857,785.9509888,0.0105212424,785.9509888,0.009079742245,785.9509888,0.01022826042,785.9509888,0.02430371754,785.9509888,0.0163789019,785.9509888,0.01747258194,785.9509888,0.01495319791,785.9509888,0.02511375956,785.9509888,0.02624868788,785.9509888,0.02987555973,785.9509888,0.07881309837,785.9509888,0.0398565121,785.9509888,0.05289164931,785.9509888,0.05097770691,785.9509888,0.06438861042,785.9509888,0.06472313404,
784.9724731,0.003371133236,784.9724731,0.004211159889,784.9724731,0.002827675547,784.9724731,0.01078515127,784.9724731,0.006443994585,784.9724731,0.006262802053,784.9724731,0.008728274144,784.9724731,0.008619102649,784.9724731,0.01196014602,784.9724731,0.01262742002,784.9724731,0.02533054166,784.9724731,0.01300355699,784.9724731,0.01640137471,784.9724731,0.0174737405,784.9724731,0.02116926573,784.9724731,0.02990878187,784.9724731,0.03302371502,784.9724731,0.07127279788,784.9724731,0.0459129326,784.9724731,0.0577512309,784.9724731,0.05080125108,784.9724731,0.06297886372,784.9724731,0.06642321497,
783.9935303,-0.001850935048,783.9935303,0.001746356953,783.9935303,0.004955586046,783.9935303,0.01005920488,783.9935303,0.004812780768,783.9935303,0.007653285284,783.9935303,0.005333309527,783.9935303,0.01111345645,783.9935303,0.008659636602,783.9935303,0.01267176773,783.9935303,0.02510418743,783.9935303,0.01060555968,783.9935303,0.01430987101,783.9935303,0.0188395977,783.9935303,0.02153854072,783.9935303,0.02403083816,783.9935303,0.02936007269,783.9935303,0.07491724938,783.9935303,0.04338853434,783.9935303,0.05140764266,783.9935303,0.04487169534,783.9935303,0.06053126976,783.9935303,0.06774132699,
