baseline,,bm3,,dmso_1,,dmso_2,,dmso_3,,Palmitic_Acid_0.1,,Palmitic_Acid_0.2,,Palmitic_Acid_0.3,,Palmitic_Acid_0.4,,Palmitic_Acid_0.5,,Palmitic_Acid_0.6,,Palmitic_Acid_0.7,,Palmitic_Acid_0.8,,Palmitic_Acid_0.9,,Palmitic_Acid_1.0,,Palmitic_Acid_2.0,,Palmitic_Acid_3.0,,Palmitic_Acid_4.0,,Palmitic_Acid_5.0,,Palmitic_Acid_6.0,,Palmitic_Acid_7.0,,Palmitic_Acid_8.0,,Palmitic_Acid_9.0,,Palmitic_Acid_10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-4.100143997E-5,800.0281372,-0.0008514861111,800.0281372,0.001246591797,800.0281372,0.0002721467754,800.0281372,0.002076168777,800.0281372,0.003098680638,800.0281372,0.004631116055,800.0281372,0.01484823599,800.0281372,0.01056582574,800.0281372,0.0163824223,800.0281372,0.009666471742,800.0281372,0.0136763379,800.0281372,0.01335046813,800.0281372,0.01336611062,800.0281372,0.01395486854,800.0281372,0.01831154712,800.0281372,0.02485752851,800.0281372,0.03072040714,800.0281372,0.03531420231,800.0281372,0.03677997366,800.0281372,0.04013463855,800.0281372,0.04493217915,800.0281372,0.05886000767,800.0281372,0.04827320948,
799.0550537,0.001429547206,799.0550537,0.002229602775,799.0550537,0.002304570749,799.0550537,0.004082474392,799.0550537,0.004535289947,799.0550537,0.00293852808,799.0550537,0.001019420102,799.0550537,0.02036882192,799.0550537,0.008446211927,799.0550537,0.01359962206,799.0550537,0.01064153016,799.0550537,0.01091023721,799.0550537,0.01561940182,799.0550537,0.01406616531,799.0550537,0.01294514723,799.0550537,0.02316951193,799.0550537,0.02240034379,799.0550537,0.03059820645,799.0550537,0.03660493717,799.0550537,0.04040459171,799.0550537,0.04620112479,799.0550537,0.04712998495,799.0550537,0.05691600963,799.0550537,0.05103404075,
797.9424438,-0.0010979363,797.9424438,1.915565917E-6,797.9424438,0.001961869653,797.9424438,-0.003630202962,797.9424438,-0.001602487639,797.9424438,-7.604631537E-5,797.9424438,0.001577505027,797.9424438,0.02720843814,797.9424438,0.00739095686,797.9424438,0.01264042594,797.9424438,0.008149588481,797.9424438,0.01017634477,797.9424438,0.00906874612,797.9424438,0.01249725651,797.9424438,0.01343488321,797.9424438,0.02077442594,797.9424438,0.02181622759,797.9424438,0.03299503401,797.9424438,0.03260478377,797.9424438,0.03362308443,797.9424438,0.03795446083,797.9424438,0.04573961347,797.9424438,0.05094164237,797.9424438,0.05529470742,
796.9685059,-0.000734591682,796.9685059,-0.0007111779996,796.9685059,6.91728128E-5,796.9685059,0.002947336994,796.9685059,0.0005263735075,796.9685059,0.006167061161,796.9685059,-0.0025152897,796.9685059,0.02934237383,796.9685059,0.005326391198,796.9685059,0.01149514038,796.9685059,0.008661167696,796.9685059,0.0108585842,796.9685059,0.01245726924,796.9685059,0.01251833048,796.9685059,0.01192068681,796.9685059,0.02108213864,796.9685059,0.01996416412,796.9685059,0.0293156486,796.9685059,0.03224511072,796.9685059,0.03495351225,796.9685059,0.04756415635,796.9685059,0.05240288004,796.9685059,0.04698545486,796.9685059,0.05417038128,
795.9942017,0.0002833625767,795.9942017,0.001709790202,795.9942017,0.002642177045,795.9942017,0.007577125449,795.9942017,0.003335185815,795.9942017,0.005381294992,795.9942017,0.006986343767,795.9942017,0.03685604781,795.9942017,0.004965116736,795.9942017,0.01321683079,795.9942017,0.0105699636,795.9942017,0.01575995423,795.9942017,0.01074675377,795.9942017,0.01370885037,795.9942017,0.02045794949,795.9942017,0.02255453169,795.9942017,0.02733327262,795.9942017,0.03278572485,795.9942017,0.03594820946,795.9942017,0.03732265532,795.9942017,0.0450813137,795.9942017,0.04733258113,795.9942017,0.05221682414,795.9942017,0.05297212303,
795.0194702,0.0003442385641,795.0194702,0.001014983165,795.0194702,2.433287818E-6,795.0194702,0.00306932535,795.0194702,0.003815137781,795.0194702,0.004268955439,795.0194702,0.003235159442,795.0194702,0.03381399065,795.0194702,0.006937023252,795.0194702,0.01166491583,795.0194702,0.009956267662,795.0194702,0.007643985562,795.0194702,0.01098438259,795.0194702,0.01377166435,795.0194702,0.01673446596,795.0194702,0.01958791167,795.0194702,0.02127598412,795.0194702,0.03262582421,795.0194702,0.0367965959,795.0194702,0.03744693473,795.0194702,0.04659180343,795.0194702,0.04705471545,795.0194702,0.05728138983,795.0194702,0.05780190974,
794.0444336,-0.0001348967198,794.0444336,0.0043798103,794.0444336,0.00184455933,794.0444336,0.001635990338,794.0444336,0.00184130983,794.0444336,0.002826972166,794.0444336,0.004135130439,794.0444336,0.02913875133,794.0444336,0.003682940733,794.0444336,0.01451822091,794.0444336,0.009858226404,794.0444336,0.01511623524,794.0444336,0.01241619326,794.0444336,0.01369640045,794.0444336,0.01756804436,794.0444336,0.02180539444,794.0444336,0.02265428193,794.0444336,0.0317396149,794.0444336,0.03542068973,794.0444336,0.03726432472,794.0444336,0.03800090775,794.0444336,0.04497386515,794.0444336,0.05374198034,794.0444336,0.05310327187,
793.0690308,0.001790282666,793.0690308,0.003262908896,793.0690308,0.002859776607,793.0690308,0.007699815091,793.0690308,0.004460903816,793.0690308,0.004982738756,793.0690308,0.002279068111,793.0690308,0.02852419391,793.0690308,0.008181530982,793.0690308,0.0147366859,793.0690308,0.009308155626,793.0690308,0.00853860192,793.0690308,0.01633473858,793.0690308,0.01553110033,793.0690308,0.01434173528,793.0690308,0.02234583534,793.0690308,0.0258784648,793.0690308,0.03439259529,793.0690308,0.03567019105,793.0690308,0.04142447934,793.0690308,0.04338092729,793.0690308,0.05392942578,793.0690308,0.05676848069,793.0690308,0.05737742037,
791.9537354,0.0009533126722,791.9537354,0.001554227434,791.9537354,0.006155009847,791.9537354,0.008441144601,791.9537354,0.005004734267,791.9537354,0.004101341125,791.9537354,0.006790646818,791.9537354,0.02448040992,791.9537354,0.009353566915,791.9537354,0.02249261551,791.9537354,0.01104159933,791.9537354,0.01139885094,791.9537354,0.01456658915,791.9537354,0.01255992241,791.9537354,0.01702823676,791.9537354,0.01880721375,791.9537354,0.02614500374,791.9537354,0.03659000993,791.9537354,0.03547610715,791.9537354,0.03875243664,791.9537354,0.04516376927,791.9537354,0.0496766381,791.9537354,0.05223407596,791.9537354,0.0573638007,
790.9775391,0.0009607064421,790.9775391,0.002776141744,790.9775391,0.003655817127,790.9775391,0.005772977602,790.9775391,0.004676590674,790.9775391,0.001967538381,790.9775391,0.007298257668,790.9775391,0.02297905087,790.9775391,0.00775934197,790.9775391,0.01518086158,790.9775391,0.01206811145,790.9775391,0.009960002266,790.9775391,0.004153346177,790.9775391,0.013437232,790.9775391,0.01367323939,790.9775391,0.02218550816,790.9775391,0.02917579189,790.9775391,0.02778834663,790.9775391,0.03472026438,790.9775391,0.0388286896,790.9775391,0.04839583114,790.9775391,0.04342789948,790.9775391,0.05700033158,790.9775391,0.06040963903,
790.0009155,0.001769384951,790.0009155,0.001192831201,790.0009155,0.003693357343,790.0009155,0.009528274648,790.0009155,0.003826837055,790.0009155,0.004279934801,790.0009155,0.004668217618,790.0009155,0.02247525007,790.0009155,0.01100556925,790.0009155,0.01488129143,790.0009155,0.0128923459,790.0009155,0.01246241014,790.0009155,0.01553284377,790.0009155,0.01405640598,790.0009155,0.01850467362,790.0009155,0.02146126702,790.0009155,0.02470948175,790.0009155,0.03045135364,790.0009155,0.03510464728,790.0009155,0.03621511906,790.0009155,0.04665448517,790.0009155,0.04858164862,790.0009155,0.05574607104,790.0009155,0.05643869936,
789.0239258,0.002093465766,789.0239258,0.001233975287,789.0239258,-0.000455147383,789.0239258,0.008088162169,789.0239258,0.001466921531,789.0239258,0.006708617322,789.0239258,0.008187334985,789.0239258,0.02058169991,789.0239258,0.009403374046,789.0239258,0.01494432893,789.0239258,0.01280480996,789.0239258,0.01255019661,789.0239258,0.012494592,789.0239258,0.01251595933,789.0239258,0.01535594556,789.0239258,0.02517629601,789.0239258,0.02740881406,789.0239258,0.03155871853,789.0239258,0.03538451716,789.0239258,0.03883972764,789.0239258,0.04282353818,789.0239258,0.05275311321,789.0239258,0.05223688111,789.0239258,0.05474708229,
788.0465698,0.000495869841,788.0465698,0.0001463062508,788.0465698,0.0003274773771,788.0465698,0.00569418259,788.0465698,0.003811978037,788.0465698,0.003220659448,788.0465698,-0.0004465621605,788.0465698,0.01969843917,788.0465698,0.006880817935,788.0465698,0.009278324433,788.0465698,0.01262616832,788.0465698,0.008838688023,788.0465698,0.01025081519,788.0465698,0.01176857855,788.0465698,0.01375630032,788.0465698,0.01959140413,788.0465698,0.01801690832,788.0465698,0.03404515609,788.0465698,0.03105426952,788.0465698,0.03447921202,788.0465698,0.0434243232,788.0465698,0.0459401533,788.0465698,0.05335465819,788.0465698,0.05290834606,
